2022-04-21 00:25:17,518 [    INFO] batch script start
2022-04-21 00:25:18,000 [    INFO] start to calculate indicators
2022-04-21 00:26:05,517 [ WARNING] symbol:8729 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:30:32,376 [ WARNING] symbol:9437 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:31:41,603 [ WARNING] symbol:9681 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:33:14,148 [ WARNING] symbol:1983 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:34:51,958 [ WARNING] symbol:4217 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:34:55,889 [ WARNING] symbol:4321 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:34:59,631 [ WARNING] symbol:4508 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:38:06,639 [ WARNING] symbol:7251 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:38:50,776 [ WARNING] symbol:8028 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:38:52,598 [ WARNING] symbol:8036 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:39:45,402 [ WARNING] symbol:8586 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:39:47,409 [ WARNING] symbol:8589 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:39:57,129 [ WARNING] symbol:8703 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:41:36,183 [ WARNING] symbol:1722 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:41:58,014 [ WARNING] symbol:1824 error:('prices length is less than long terms',)
2022-04-21 00:42:14,581 [ WARNING] symbol:1865 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:42:30,263 [ WARNING] symbol:1883 error:('prices length is less than long terms',)
2022-04-21 00:44:31,231 [ WARNING] symbol:2151 error:('prices length is less than long terms',)
2022-04-21 00:44:40,628 [ WARNING] symbol:2174 error:('prices length is less than long terms',)
2022-04-21 00:45:54,719 [ WARNING] symbol:2398 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:48:27,310 [ WARNING] symbol:3098 error:('prices length is less than long terms',)
2022-04-21 00:49:04,985 [ WARNING] symbol:3194 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:49:26,372 [ WARNING] symbol:3258 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:50:07,626 [ WARNING] symbol:3408 error:('prices length is less than long terms',)
2022-04-21 00:50:44,751 [ WARNING] symbol:3606 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:51:35,919 [ WARNING] symbol:3756 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:53:08,388 [ WARNING] symbol:4282 error:('prices length is less than long terms',)
2022-04-21 00:54:05,011 [ WARNING] symbol:4517 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:55:25,537 [ WARNING] symbol:4696 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:56:02,946 [ WARNING] symbol:9277 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:56:06,907 [ WARNING] symbol:4779 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:58:09,257 [ WARNING] symbol:7203 error:('prices length is less than long terms',)
2022-04-21 00:58:50,831 [ WARNING] symbol:1728 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:59:02,426 [ WARNING] symbol:1782 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 00:59:27,658 [ WARNING] symbol:1906 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:00:44,015 [ WARNING] symbol:2362 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:01:54,215 [ WARNING] symbol:2714 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:03:29,238 [ WARNING] symbol:3171 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:04:08,068 [ WARNING] symbol:3344 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:04:37,171 [ WARNING] symbol:3424 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:04:48,733 [ WARNING] symbol:3515 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:05:00,529 [ WARNING] symbol:3711 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:06:59,671 [ WARNING] symbol:4557 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:07:21,753 [ WARNING] symbol:4640 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:07:40,238 [ WARNING] symbol:4669 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:07:58,527 [ WARNING] symbol:4734 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:09:40,891 [ WARNING] symbol:5935 error:('prices length is less than long terms',)
2022-04-21 01:10:30,754 [ WARNING] symbol:6256 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:10:40,792 [ WARNING] symbol:6281 error:('prices length is less than long terms',)
2022-04-21 01:11:34,364 [ WARNING] symbol:6628 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:12:00,036 [ WARNING] symbol:6722 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:12:28,297 [ WARNING] symbol:6852 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:12:42,325 [ WARNING] symbol:6889 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:13:02,185 [ WARNING] symbol:6944 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:14:04,769 [ WARNING] symbol:7465 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:14:18,562 [ WARNING] symbol:7509 error:('prices length is less than long terms',)
2022-04-21 01:14:20,424 [ WARNING] symbol:7519 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:14:26,373 [ WARNING] symbol:7531 error:('prices length is less than long terms',)
2022-04-21 01:14:42,148 [ WARNING] symbol:7577 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:14:53,705 [ WARNING] symbol:7612 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:15:44,048 [ WARNING] symbol:7834 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:00,908 [ WARNING] symbol:7857 error:('prices length is less than long terms',)
2022-04-21 01:16:07,039 [ WARNING] symbol:7869 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:16,728 [ WARNING] symbol:7891 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:48,177 [ WARNING] symbol:8072 error:('prices length is less than long terms',)
2022-04-21 01:16:56,099 [ WARNING] symbol:8186 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:16:57,942 [ WARNING] symbol:8205 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:17:08,066 [ WARNING] symbol:8298 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:18:13,914 [ WARNING] symbol:9087 error:('prices length is less than long terms',)
2022-04-21 01:19:14,545 [ WARNING] symbol:9707 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:18,331 [ WARNING] symbol:9733 error:('prices length is less than long terms',)
2022-04-21 01:19:24,647 [ WARNING] symbol:9758 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:45,741 [ WARNING] symbol:9829 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:19:47,726 [ WARNING] symbol:9836 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:11,460 [ WARNING] symbol:9909 error:('prices length is less than long terms',)
2022-04-21 01:20:22,633 [ WARNING] symbol:9943 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:40,559 [ WARNING] symbol:6414 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:20:42,500 [ WARNING] symbol:8257 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:23:25,475 [ WARNING] symbol:7203 error:('prices length is less than long terms',)
2022-04-21 01:27:12,722 [ WARNING] symbol:7230 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:27:22,780 [ WARNING] symbol:7274 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:29:03,173 [ WARNING] symbol:8184 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:31:19,081 [ WARNING] symbol:9792 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:32:38,186 [ WARNING] symbol:3938 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:33:22,311 [ WARNING] symbol:3564 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:33:40,528 [ WARNING] symbol:7321 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:36:04,839 [ WARNING] symbol:4033 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:38:49,893 [ WARNING] symbol:6839 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:40:30,491 [ WARNING] symbol:8692 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:41:29,500 [ WARNING] symbol:6065 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:41:35,615 [ WARNING] symbol:6077 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:42:06,980 [ WARNING] symbol:7873 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:43:19,235 [ WARNING] symbol:9671 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:44:28,893 [ WARNING] symbol:3751 error:('prices length is less than long terms',)
2022-04-21 01:44:32,950 [ WARNING] symbol:3822 error:('ERR#0007: stock information unavailable or not found.',)
2022-04-21 01:47:22,017 [ WARNING] symbol:3975 error:('prices length is less than long terms',)
